Dynasty/King,Capital,Lat,Lon,"Image Link"
"Cholas (1)",Thanjavur,10.7870, 79.1378,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Gopuram_Corner_View_of_Thanjavur_Brihadeeswara_Temple..JPG/200px-Gopuram_Corner_View_of_Thanjavur_Brihadeeswara_Temple..JPG"
"Cholas (2)","Gangaikonda Cholapuram",11.2076, 79.4514,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Gangaikonda_Cholapuram_Temple_Entrance.JPG/200px-Gangaikonda_Cholapuram_Temple_Entrance.JPG"
Mauryas,Patliputra,25.5941, 85.1376,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Pataliputra_capital._Department_of_Archaeology%2C_Government_of_India.jpg/200px-Pataliputra_capital._Department_of_Archaeology%2C_Government_of_India.jpg"
Pallavas,Kanchi,12.8185, 79.6947,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Kailasanathar_Temple.jpg/200px-Kailasanathar_Temple.jpg"
Pandyas,Madurai,9.9252, 78.1198,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/An_aerial_view_of_Madurai_city_from_atop_of_Meenakshi_Amman_temple.jpg/200px-An_aerial_view_of_Madurai_city_from_atop_of_Meenakshi_Amman_temple.jpg"
Chalukyas,"Vatapi or Badami",15.9186, 75.6761,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Bhutanatha_temple_in_Badami%2C_Karnataka%2C_India.jpg/200px-Bhutanatha_temple_in_Badami%2C_Karnataka%2C_India.jpg"
"Later Chalukyas",Kalyani,17.8721, 76.9470,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Mallikarjuna_group_of_temples_at_Badami.jpg/200px-Mallikarjuna_group_of_temples_at_Badami.jpg"
Kakatiyas,Warangal,17.9689, 79.5941,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Ramappa1.jpg/200px-Ramappa1.jpg"
Satvahanas,"Pratisthana (modern day Paithan in Maharashtra)",19.4777, 75.3849,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Karla_caves_Chaitya.jpg/200px-Karla_caves_Chaitya.jpg"
Bahmani Kingdom (1),"Gulbarga (Ahsanabad)",17.3297, 76.8343,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Great_Mosque_in_Gulbarga_Fort.gif/400-Great_Mosque_in_Gulbarga_Fort.gif"
Bahmani Kingdom (2),"Bidar (Muhammadabad)",17.9104, 77.5199,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Bahamani_Tombs_in_Bidar_district.jpg/200px-Bahamani_Tombs_in_Bidar_district.jpg"
Varmans,"Pragjyotishpura (Guwahati)",26.1445, 91.7362,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Ruins_of_Pragjyotishpura_%28Guwahati%29%2C_Kamarupa_-_Panel_on_Plinth.jpg/200px-Ruins_of_Pragjyotishpura_%28Guwahati%29%2C_Kamarupa_-_Panel_on_Plinth.jpg"
Shungas,"Vidisha",23.5236, 77.8140,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Heliodorus-Pillar2.jpg/200px-Heliodorus-Pillar2.jpg"
Rashtrakutas,Manyakheta,17.1793, 77.1773,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Aurangabad%2Cellora_kailash_temple.jpg/200px-Aurangabad%2Cellora_kailash_temple.jpg"
Solankis,Anhilwara,23.8500, 72.1210,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Rani_ki_vav1.jpg/200px-Rani_ki_vav1.jpg"
Shivaji,Raigarh,18.5158, 73.1822,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Raigad_fort_towers.jpg/200px-Raigad_fort_towers.jpg"
"Tipu Sultan",Srirengapatnam,12.4237, 76.6829,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Daria_daulat.jpg/200px-Daria_daulat.jpg"
"Ranjit Singh",Lahore,31.5204, 74.3587,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Badshahi_Mosque_%28King%E2%80%99s_Mosque%29_by_ZILL_NIAZI_2.jpg/200px-Badshahi_Mosque_%28King%E2%80%99s_Mosque%29_by_ZILL_NIAZI_2.jpg"
Harshavardhana,Thanesar,29.9699, 76.8193,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Harsha_Ka_Tila.jpg/200px-Harsha_Ka_Tila.jpg"
Harshavardhan,Kanauj,27.0514, 79.9137,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Harshavardhana_Circa_AD_606-647.jpg/200px-Harshavardhana_Circa_AD_606-647.jpg"
Kanishka,Purushapura (Peshawar),34.0151, 71.5249,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Loriyan_Tangai_complete_Stupa.jpg/200px-Loriyan_Tangai_complete_Stupa.jpg"
