Name,State,Established,"Area (in km2)",Notability,"Rivers and lakes inside the national park",Lat,Lon
"Anamudi Shola National Park",Kerala,2003,7.5,,"Pambar River",10.1266,77.2582
"Anshi National Park",Karnataka,1987,417.34,"Great hornbill, tiger, leopard, black panther, bear, elephant, deer","Kali River (Karnataka)",14.9981,74.3587
"Balphakram National Park",Meghalaya,1986,220,"Wild water buffalo, red panda, elephant and eight cat species, including the tiger and marbled cat",,25.2626,90.8644
"Bandhavgarh National Park","Madhya Pradesh",1982,446,"1336 species of endemic plants",,23.6994,80.9619
"Bandipur National Park",Karnataka,1974,874.2,"Chital, Bengal tiger, gray langurs, Indian giant squirrel, gaur, leopard, sambar deer, Indian elephants, honey buzzard, red-headed vulture","Kabini River, Moyar River",11.7788,76.4647
"Bannerghatta National Park",Karnataka,1986,104.3,"Tiger, sloth bear, peacock, elephant, sambar deer, mouse deer",,12.8003,77.577
"Betla National Park",Jharkhand,1999,1135,"Tiger, Indian bison, elephant, hyenas, monkey, leopard","North Koyal River",23.8856,84.1924
"Bhitarkanika National Park",Odisha,1988,145,"Mangroves, saltwater crocodile, white crocodile, Indian python, black ibis, wild pigs, rhesus monkeys, olive ridley sea turtle, chital","Brahmani River, Baitarani River, Dhamra River, Pathsala",20.7141,86.8201
"Bison (Rajbari) National Park",Tripura,2007,31.63,,,23.8373,91.2828
"Blackbuck National Park",Velavadar,Gujarat,1976,34.08,"Blackbuck Lodge, the endangered Indian grey wolf, the nocturnal striped hyena, Indian fox, golden jackal, jungle cat and many small mammals like hare, gerbil, field mice, mongoose and hedgehog.",22.0441,72.0203
"Buxa Tiger Reserve","West Bengal",1992,760,,,26.6473,89.5483
"Campbell Bay National Park","Andaman and Nicobar Islands",1992,426.23,,,7.116,93.7304
"Chandoli National Park",Maharashtra,2004,317.67,,,17.1261,73.8593
"Clouded Leopard National Park",Tripura,2003,5.08,,,23.669,91.3194
"Dachigam National Park","Jammu and Kashmir",1981,141,"Only area where Kashmir stag is found",,34.1372,75.0377
"Desert National Park",Rajasthan,1980,3162,"Great Indian bustard",,26.9101,70.8086
"Dibru-Saikhowa National Park",Assam,1999,340,"Feral horse","Brahmaputra, Lohit River, Dibru",27.669,95.3626
"Dehing Patkai National Park",Assam,2020,,,,27.2983,95.5165
"Dudhwa National Park","Uttar Pradesh",1977,490.29,"Tiger, Sambar deer, hog deer",,28.5406,80.6159
"Eravikulam National Park",Kerala,1978,97,"Nilgiri tahr, Strobilanthes kunthiana","Pambar River (Kerala)",10.1356,77.0597
"Galathea National Park","Andaman and Nicobar Islands",1992,110,,,6.8392,93.8484
"Gangotri National Park",Uttarakhand,1989,2390,"Gaumukh Glacier",Ganga,30.9426,79.1549
"Gir Forest National Park",Gujarat,1975,1412,"Asiatic lion","Hiran, Shetrunji River, Datardi, Shingoda, Machhundri, Godavari and Raval",21.1243,70.8242
"Gorumara National Park","West Bengal",1994,79.45,"The park is rich in large herbivores including Indian rhinoceros, gaur, Asian elephant, sloth bear, chital, and sambar deer","Jaldhaka, Brahmaputra",26.7564,88.7975
"Govind Pashu Vihar National Park",Uttarakhand,1990,472.08,,,31.1425,78.3387
"Great Himalayan National Park","Himachal Pradesh",1984,754.4,"UNESCO World Heritage Site",,31.8903,77.141
"Gugamal National Park",Maharashtra,1987,361.28,,,21.3532,77.0212
"Guindy National Park","Tamil Nadu",1976,2.82,,,13.0049,80.2379
"Gulf of Mannar Marine National Park","Tamil Nadu",1980,6.23,,,9.1278,79.4662
"Guru Ghasidas (Sanjay) National Park",Chhattisgarh,1981,1440.71,,,23.8678,82.0625
"Hemis National Park",Ladakh,1981,4400,"Largest National park in India",,33.7187,77.3882
"Inderkilla National Park","Himachal Pradesh",2010,104,,,32.2282,77.4117
"Indra Gandhi Wildlife Sanctuary and National Park","Tamil Nadu",1989,117.1,,,10.4241,77.1256
"Indravati National Park",Chhattisgarh,1981,1258.37,"Wild Asian buffalo, tiger reserve, hill mynas",,19.2059,81.0313
"Jaldapara National Park","West Bengal",2012,216,"Indian rhinoceros",,26.6908,89.277
"Jim Corbett National Park",Uttarakhand,1936,1318.5,"First national park in India (established in 1936 as Hailey National Park)",Ramganga,29.53,78.7747
"Kalesar National Park",Haryana,2003,100.88,"On the bank of Yamuna river",,30.3915,77.5169
"Kanha National Park","Madhya Pradesh",1955,940,,,22.3345,80.6115
"Kanger Ghati National Park",Chhattisgarh,1982,200,,,18.7787,81.9971
"Kasu Brahmananda Reddy National Park",Telangana,1994,1.42,,,17.4238,78.416
"Kaziranga National Park",Assam,1974,858.98,"Highest known tiger density in the world, Indian rhinoceros, UNESCO World Heritage Site",,26.5775,93.1711
"Keibul Lamjao National Park",Manipur,1977,40,"Only floating park in the world","Loktak Lake",24.4798,93.8082
"Keoladeo National Park",Rajasthan,1981,28.73,"UNESCO World Heritage Site",,27.1593,77.5232
"Khangchendzonga National Park",Sikkim,1977,1784,"UNESCO World Heritage Site",,27.6672,88.3246
"Khirganga National Park","Himachal Pradesh",2010,710,,,32.0054,77.6656
"Kishtwar National Park","Jammu and Kashmir",1981,400,,,33.6187,75.9933
