Name,Lat,Long
Bhadra Wildlife Sanctuary,13.6949,75.6352
Tadoba Andhari Tiger Reserve,20.2484,79.3607
Chinnar Wildlife Sanctuary,10.3068,77.2060
Dandeli Wildlife Sanctuary,15.2495,74.6179
Bhagwan Mahavir Wildlife Sanctuary,15.3339,74.2884
Interview Island Wildlife Sanctuary,12.8953,92.6884
Indian Wild Ass Sanctuary,23.1528,71.3958
Rollapadu Wildlife Sanctuary,15.7367,78.3636
Eaglenest Wildlife Sanctuary,27.1040,92.3980
Koyna Wildlife Sanctuary,17.7691,73.7421
Senchal Wildlife Sanctuary,26.9287,88.3628
Periyar Wildlife Sanctuary,9.4622,77.2368
Govind Wildlife Sanctuary,31.1425,78.3387
Nauradehi Wildlife Sanctuary,23.5415,79.2113
Manas Wildlife Sanctuary,26.6594,91.0011
Indira Gandhi Wildlife Sanctuary,10.4241,77.1256
Eturnagaram Wildlife Sanctuary,18.3378,80.4299
