Name,Lat,Long
Nilgiris Biosphere Reserve,11.5732,76.7558
Nanda Devi Biosphere Reserve,30.6588,79.8387
Gulf of Mannar,9.1278,79.4662
Nokrek,25.4475,90.4286
Sundarbans,21.9497,89.1833
Manas,26.6594,91.0011
Simlipal,21.5931,86.2945
Dihang-Dibang,28.5,95.0
Pachmarhi Biosphere Reserve,22.4685,78.4412
Achanakmar Amarkantak,22.4820,81.7853
Great Rann of Kutch,24.0852,70.6360
Cold Desert Biosphere Reserve,32.7213,77.6192
Khangchendzonga,27.6672,88.3246
Agasthyamalai Biosphere Reserve,8.5,77.2
Great Nicobar,7.1205,93.7842
Dibru-Saikhowa,27.6690,95.3626
Seshachalam Hills,14.3333,78.2500
Panna,24.7180,80.1819
