Battle,Year,Place,Part of,Winner,Loser,Remarks
Battle of the Ten Kings,c. 14th century BCE,near the Ravi River in Punjab.,,King Sudas of Trustu-Bharata Tribe,Ten Kings,Rigvedic tribes were conquered by Sudas. Bharatas settle in Kurukshetra. Emergence of Kuru Kingdom
Kurukshetra War,10th century BCE,"Kurukshetra, modern-day Haryana, India",,Territory-less Pandavas of the Kurus with the support of the Panchala tribe and others.,Kauravas (Kuru tribe) with capital at Hastinapura and their allies,Reunification of the Kuru states of Hastinapura and Indraprastha under the Pandavas. Return of Panchal lands held by Drona to the original Panchala state.
Magadha-Vajji war,468 BCE,"Modern-day Bihar, India",,Haryanka dynasty of Magadh,Vajji confederacy led by the Licchavis,Magadh annexes Vajji
Battle of the Hydaspes,326 BC,the bank of Jhelum,,Macedonian Empire,Paurava Kingdom,"The battle is historically significant for opening up India to Greek political (Seleucid, Greco-Bactrian, Indo-Greek) and cultural influences (Greco-Buddhist art), which continued to have an impact for many centuries"
Conquest of the Nanda Empire,321-320 BC,Nanda Empire in Northern India,,Maurya Empire,Nanda Empire,
Seleucid–Mauryan war,303 BC,,,Maurya Empire,Seleucid Empire,"Far eastern satrapies of the Macedonian Empire annexed by the Maurya Empire, Chandragupta married the daughter of Seleucus I Nicator in exchange for 500 war elephants"
Kalinga War,262 BC,Kalinga,,Maurya Empire,Kingdom of Kalinga,"Ashoka adapted Buddhism, and he started preaching Dharma Vijaya."
Battle of Pullalur,618,Pullalur,,Chalukya Dynasty,Pallava Kingdom,
Battle of Manimangala,640,Manimangala,,Pallava Kingdom,Chalukya Dynasty,
Battle of Vatapi,642,Vatapi,,Pallava Kingdom,Chalukya Dynasty,
Umayyad campaigns in India,712-740,Rajasthan,,Gurjara-Pratihara and Chalukya dynasty,Umayyad Caliphate,"Victory of Indian kingdoms, Arab expansion checked."
Battle of Sri Purambiyam,879,Thirupurambiyam,Rise of the Medieval Cholas,Pallava Kingdom,Pandya Kingdom,
Battle of Takkolam,949,Takkolam,,Rashtrakuta Dynasty,Chola Empire,
Battle of Kandalur Salai,1000,Kandalur,,Chola Empire,Chera Dynasty,
Battle of Peshawar,1001,Peshawar,,Ghaznavid Empire,Hindu Shahi,
Battle of Donur,1007,Donur,,Chola Empire,Western Chalukya Empire,
Battle of Chach,1008,Chach,,Ghaznavid Empire,Hindu Shahi,
Battle of Koppam,1054,Koppam,,Chola Empire,Chalukya Dynasty,
Battle of Kudal-Sangamam,1062,Kudalsangamama,,Chola Empire,Western Chalukya Empire,
Battle of Vijayawada,1068,Vijayawada,,Chola Empire,Western Chalukya Empire,
Battle of Nettur,1188-1227,Nettur,,Chola Empire Pandya Kingdom,Pandya Kingdom,
First Battle of Tarain,1191,Tarain,,Chauhan Dynasty,Ghurid Empire,
Second Battle of Tarain,1192,Tarain,,Ghurid Empire,Chauhan Dynasty,"The victory of Mu'izz al-Din was decisive, he took Bihar province in 1193 eradicating Buddhism in that area."
Battle of Chandawar,1194,Firozabad,,Ghurid Empire,Gahadavala Dynasty,
Battle of Beas River,1285,Beas River,,Delhi Sultanate,Mongol Empire,
Battle of Jalandhar,1298,Jalandhar,,Delhi Sultanate,Mongol Empire,
Battle of Sind,1298,Sindh,,Delhi Sultanate,Mongol Empire,
Battle of Kili,1299,Kili,,Delhi Sultanate,Mongol Empire,
Siege of Ranthombore,1301,Ranthombore,,Delhi Sultanate,Chauhan Dynasty,
Siege of Chittorgarh,1303,Chittorgarh,,Delhi Sultanate,Guhila Dynasty,
Battle of Amroha,1305,Amroha,,Delhi Sultanate,Mongol Empire,
Battle of Jalore,1310–14,Jalore,,Delhi Sultanate,Chahamanas of Naddula,
Jaunpur-Bhojpur War,1389,Bihar,,Jaunpur Sultanate,Ujjainiya Rajputs,
Battle of Mandalgarh and Banas,1442-1446,Kumbalmer,,Rajput Rajya (Participating factions: Mewar Kingdom),Delhi Sultanate (Ruled by the Khalji Dynasty),"Bloodied by these engagements, the Sultan did not attack Mewar for another ten years."
Battle of Nagaur,1456,Nagaur,,Rajput Rajya (Participating factions: Mewar Kingdom),Delhi Sultanate (Participating factions: Nagaur Sultanate and Gujarat Sultanate),
