Battle,Year,Place,"Part of",Winner,Loser,Remarks
"Battle of Pullalur",618,Pullalur,,"Chalukya Dynasty","Pallava Kingdom",
"Battle of Manimangala",640,Manimangala,,"Pallava Kingdom","Chalukya Dynasty",
"Battle of Vatapi",642,Vatapi,,"Pallava Kingdom","Chalukya Dynasty",
"Battle of Sri Purambiyam",879,Thirupurambiyam,"Rise of the Medieval Cholas","Pallava Kingdom","Pandya Kingdom",
"Battle of Takkolam",949,Takkolam,,"Rashtrakuta Dynasty","Chola Empire",
"Battle of Kandalur Salai",1000,Kandalur,,"Chola Empire","Chera Dynasty",
"Battle of Peshawar",1001,Peshawar,,"Ghaznavid Empire","Hindu Shahi",
"Battle of Donur",1007,Donur,,"Chola Empire","Western Chalukya Empire",
"Battle of Chach",1008,Chach,,"Ghaznavid Empire","Hindu Shahi",
"Battle of Koppam",1054,Koppam,,"Chola Empire","Chalukya Dynasty",
"Battle of Kudal-Sangamam",1062,Kudalsangamama,,"Chola Empire","Western Chalukya Empire",
"Battle of Vijayawada",1068,Vijayawada,,"Chola Empire","Western Chalukya Empire",
"First Battle of Tarain",1191,Tarain,,"Chauhan Dynasty","Ghurid Empire",
"Second Battle of Tarain",1192,Tarain,,"Ghurid Empire","Chauhan Dynasty","The victory of Mu'izz al-Din was decisive, he took Bihar province in 1193 eradicating Buddhism in that area."
"Battle of Chandawar",1194,Firozabad,,"Ghurid Empire","Gahadavala Dynasty",
"Battle of Beas River",1285,"Beas River",,"Delhi Sultanate","Mongol Empire",
"Battle of Jalandhar",1298,Jalandhar,,"Delhi Sultanate","Mongol Empire",
"Battle of Sind",1298,Sindh,,"Delhi Sultanate","Mongol Empire",
"Battle of Kili",1299,Kili,,"Delhi Sultanate","Mongol Empire",
"Siege of Ranthombore",1301,Ranthombore,,"Delhi Sultanate","Chauhan Dynasty",
"Siege of Chittorgarh",1303,Chittorgarh,,"Delhi Sultanate","Guhila Dynasty",
"Battle of Amroha",1305,Amroha,,"Delhi Sultanate","Mongol Empire",
"Jaunpur-Bhojpur War",1389,Bihar,,"Jaunpur Sultanate","Ujjainiya Rajputs",
"Battle of Nagaur",1456,Nagaur,,"Rajput Rajya (Participating factions: Mewar Kingdom)","Delhi Sultanate (Participating factions: Nagaur Sultanate and Gujarat Sultanate)",
"Battle of Cochin",1504,Kochi,,"Portuguese Empire Kingdom of Cochin","Samoothiri of Kozhikode",
"Battle of Cannanore",1506,Kannur,,"Portuguese Empire","Delhi Sultanate (Participating factions: Gujarat Sultanate)",
"Battle of Chaul",1508,Chaul,,"Samoothiri of Kozhikode Delhi Sultanate (Participating factions: Gujarat Sultanate)","Portuguese Empire",
"Portuguese conquest of Goa",1510,Goa,,"Portuguese Empire","Bijapur Sultanate",
"Battle of Khatoli",1517,Khatoli,,"Rana Sanga","Ibrahim Lodhi",
"Battle of Dholpur",1519,Dholpur,,"Rana Sanga","Ibrahim Lodhi",
"Battle of Gagron",1519,Gagron,,"Rana Sanga","Mahmud Khilji of Malwa",
"Siege of Mandsaur",1520,Mewar,,"Rana Sanga","Sultan Muzaffar Shah II sent an army under Malik Ayaz","retreated to Gujarat."
"Battle of Panipat",1526,Panipat,"Mughal conquest of India",Babur,"Ibrahim Lodhi",
"Battle of Khanwa",1527,Khanwa,"Mughal conquest of India",Babur,"Rana Sanga",
"Battle of Chanderi",1528,Chanderi,"Mughal conquest of India",Babur,"Medini Rai",
"Battle of Ghaghra",1529,"Ghaghra or Gogara","Mughal conquest of India",Babur,Afghans,
"Battle of Chausa",1539,Chausal,"Mughal conquest of India","Sher shah","Mughal emperor Humayun","Humayun escaped by crossing over the river."
"Battle of Kanauj",1540,"Kanauj or Billgram","Mughal conquest of India","Sher Shah Suri","Mughal emperor Humayun","Sher Shah Suri occupied the city of Agra ."
"Battle of Sammel",1544,Sammel,"Mughal conquest of India",,,
"Battle of Tughlaqabad",1556,Delhi,"Mughal conquest of India","King 'Hem Chandra Vikramaditya'",Akbar,
"Battle of Panipat",1556,Panipat,"Mughal conquest of India","Bairam Khan (for Akbar)","Hem Chandra Vikramaditya (Hemu)",
"Battle of Talikota",1565,Tallikota,,"Unified Army of the five Deccan Sultanates defeated","Vijayanagara Army","Vijayanagara General Ramaraju was killed in the battlefield."
"Battle of Haldighati",1576,Haldighati,"Mughal conquest of India",Akbar,"Rana of Mewar Pratap",
"Battle of Bhuchar Mori",1591,"Bhuchar Mor","Mughal conquest of India","Mirza Aziz Koka","army of Halar",
"Battle of Dewar",1606,"Kingdom of Mewar","Mughal Empire","Amar Singh I","Mughal Empire",
"Battle of Swally",1612,Swally,,"British East India Company",Portuguese,
"Battle of Amritsar",1634,Amritsar,"Mughal-Sikh Wars","Sikh Empire","Mughal Empire",
"Battle of Kartarpur",1635,Kartarpur,"Mughal-Sikh Wars","Sikh Empire","Mughal Empire",
"Battle of Pratapgad",1659,Pratapgad,,"Maratha Empire","Adilshahi Dynasty","Afzal Khan defeated by Shivaji."
"Battle of Kolhapur",1659,Kolhapur,,"Maratha Empire","Adilshahi Dynasty",
"Battle of Pavan Khind",1660,Vishalgad,"Imperial Maratha Conquests","Maratha Empire","Adilshahi Dynasty","10,000-strong Adilshahi army defeated by 300 Marathas under the command of Baji Prabhu Deshpande."
"Battle of Surat",1664,Surat,"Imperial Maratha Conquests","Maratha Empire","Mughal Empire","Surat sacked by the Marathas."
"Battle of Purandar",1665,Purandar,"Imperial Maratha Conquests","Mughal Empire","Maratha Empire","Shivaji surrenders"
"Battle of Sinhagad",1670,Sinhagad,"Imperial Maratha Conquests","Maratha Empire","Mughal Empire",
"Battle of Saraighat",1671,"Modern Guwahati, Assam",,Ahom,Mughals,
